matricula,cidade_em_que_nasceu,município_em_que_mora,curso,ira,ano_de_ingresso,prazo_para_terminar_o_curso,ch_total,semestre_em_que_o_aluno_está,quantidade_de_trancamentos,quantidade_de_reprovações,media_das_notas,variancia_das_notas,CRT0002,CRT0003,CRT0004,CRT0006,CRT0007,CRT0008,CRT0009,CRT0010,CRT0011,CRT0018,CRT0021,CRT0022,CRT0023,CRT0026,CRT0027,CRT0028,CRT0029,CRT0030,CRT0031,CRT0032,CRT0033,CRT0034,CRT0035,CRT0038,CRT0039,CRT0040,CRT0041,CRT0042,CRT0043,CRT0044,CRT0082,CRT0086,CRT0226,CRT0229,CRT0230,CRT0232,CRT0233,CRT0234,CRT0235,CRT0236,CRT0237,CRT0238,CRT0239,CRT0240,CRT0241,CRT0242,CRT0243,CRT0244,CRT0245,CRT0246,CRT0247,CRT0248,CRT0249,CRT0250,CRT0251,CRT0252,CRT0253,CRT0254,CRT0255,CRT0262,CRT0264,CRT0265,CRT0266,CRT0267,CRT0268,CRT0269,CRT0270,CRT0272,CRT0273,CRT0274,CRT0275,CRT0276,CRT0294,CRT0302,CRT0303,CRT0306,CRT0308,CRT0313,CRT0314,CRT0315,CRT0316,CRT0320,CRT0324,CRT0326,CRT0329,CRT0330,CRT0338,CRT0344,CRT0383,CRT0384,CRT0385,CRT0386,CRT0387,CRT0388,CRT0390,CRT0391,CRT0392,CRT0393,CRT0394,CRT0402,CRT0403,CRT0404,CRT0405,CRT0406,CRT0407,CRT0408,CRT0409,CRT0410,CRT0411,CRT0412,CRT0413,CRT0414,CRT0415,CRT0416,CRT0417,CRT0418,CRT0419,CRT0420,CRT0421,CRT0431,CRT0432,CRT0433,CRT0434,reprovado_vezes_CRT0002,reprovado_vezes_CRT0003,reprovado_vezes_CRT0004,reprovado_vezes_CRT0006,reprovado_vezes_CRT0007,reprovado_vezes_CRT0008,reprovado_vezes_CRT0009,reprovado_vezes_CRT0010,reprovado_vezes_CRT0011,reprovado_vezes_CRT0018,reprovado_vezes_CRT0021,reprovado_vezes_CRT0022,reprovado_vezes_CRT0023,reprovado_vezes_CRT0026,reprovado_vezes_CRT0027,reprovado_vezes_CRT0028,reprovado_vezes_CRT0029,reprovado_vezes_CRT0030,reprovado_vezes_CRT0031,reprovado_vezes_CRT0032,reprovado_vezes_CRT0033,reprovado_vezes_CRT0034,reprovado_vezes_CRT0035,reprovado_vezes_CRT0038,reprovado_vezes_CRT0039,reprovado_vezes_CRT0040,reprovado_vezes_CRT0041,reprovado_vezes_CRT0042,reprovado_vezes_CRT0043,reprovado_vezes_CRT0044,reprovado_vezes_CRT0082,reprovado_vezes_CRT0086,reprovado_vezes_CRT0226,reprovado_vezes_CRT0229,reprovado_vezes_CRT0230,reprovado_vezes_CRT0232,reprovado_vezes_CRT0233,reprovado_vezes_CRT0234,reprovado_vezes_CRT0235,reprovado_vezes_CRT0236,reprovado_vezes_CRT0237,reprovado_vezes_CRT0238,reprovado_vezes_CRT0239,reprovado_vezes_CRT0240,reprovado_vezes_CRT0241,reprovado_vezes_CRT0242,reprovado_vezes_CRT0243,reprovado_vezes_CRT0244,reprovado_vezes_CRT0245,reprovado_vezes_CRT0246,reprovado_vezes_CRT0247,reprovado_vezes_CRT0248,reprovado_vezes_CRT0249,reprovado_vezes_CRT0250,reprovado_vezes_CRT0251,reprovado_vezes_CRT0252,reprovado_vezes_CRT0253,reprovado_vezes_CRT0254,reprovado_vezes_CRT0255,reprovado_vezes_CRT0262,reprovado_vezes_CRT0264,reprovado_vezes_CRT0265,reprovado_vezes_CRT0266,reprovado_vezes_CRT0267,reprovado_vezes_CRT0268,reprovado_vezes_CRT0269,reprovado_vezes_CRT0270,reprovado_vezes_CRT0272,reprovado_vezes_CRT0273,reprovado_vezes_CRT0274,reprovado_vezes_CRT0275,reprovado_vezes_CRT0276,reprovado_vezes_CRT0294,reprovado_vezes_CRT0302,reprovado_vezes_CRT0303,reprovado_vezes_CRT0306,reprovado_vezes_CRT0308,reprovado_vezes_CRT0313,reprovado_vezes_CRT0314,reprovado_vezes_CRT0315,reprovado_vezes_CRT0316,reprovado_vezes_CRT0320,reprovado_vezes_CRT0324,reprovado_vezes_CRT0326,reprovado_vezes_CRT0329,reprovado_vezes_CRT0330,reprovado_vezes_CRT0338,reprovado_vezes_CRT0344,reprovado_vezes_CRT0383,reprovado_vezes_CRT0384,reprovado_vezes_CRT0385,reprovado_vezes_CRT0386,reprovado_vezes_CRT0387,reprovado_vezes_CRT0388,reprovado_vezes_CRT0390,reprovado_vezes_CRT0391,reprovado_vezes_CRT0392,reprovado_vezes_CRT0393,reprovado_vezes_CRT0394,reprovado_vezes_CRT0402,reprovado_vezes_CRT0403,reprovado_vezes_CRT0404,reprovado_vezes_CRT0405,reprovado_vezes_CRT0406,reprovado_vezes_CRT0407,reprovado_vezes_CRT0408,reprovado_vezes_CRT0409,reprovado_vezes_CRT0410,reprovado_vezes_CRT0411,reprovado_vezes_CRT0412,reprovado_vezes_CRT0413,reprovado_vezes_CRT0414,reprovado_vezes_CRT0415,reprovado_vezes_CRT0416,reprovado_vezes_CRT0417,reprovado_vezes_CRT0418,reprovado_vezes_CRT0419,reprovado_vezes_CRT0420,reprovado_vezes_CRT0421,reprovado_vezes_CRT0431,reprovado_vezes_CRT0432,reprovado_vezes_CRT0433,reprovado_vezes_CRT0434
574219,NOVO ORIENTE/CE,NOVO ORIENTE,SISTEMAS DE INFORMAÇÃO,5.5486,2024.2,2028.2,192.0,2,0,0,8.633333333333333,3.803333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
570999,FORTALEZA/CE,NOVA RUSSAS,SISTEMAS DE INFORMAÇÃO,5.5688,2024.1,2028.1,896.0,5,1,5,6.07,8.543263157894735,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
579935,IPU/CE,IPU,SISTEMAS DE INFORMAÇÃO,4.7256,2025.1,2029.1,288.0,3,1,4,5.6899999999999995,9.847666666666669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
587827,IPAPORANGA/CE,IPAPORANGA,SISTEMAS DE INFORMAÇÃO,7.5906,2025.1,2029.1,672.0,3,0,0,7.781818181818181,2.6356363636363636,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580646,CRATEÚS/CE,CRATEÚS,SISTEMAS DE INFORMAÇÃO,4.0792,2025.1,2029.1,256.0,3,0,5,4.477777777777778,10.981944444444444,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
588053,INDEPENDÊNCIA/CE,INDEPENDÊNCIA,SISTEMAS DE INFORMAÇÃO,5.3867,2025.1,2029.1,384.0,3,0,4,5.372727272727274,9.256181818181817,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
588001,CRATEÚS/CE,CRATEÚS,SISTEMAS DE INFORMAÇÃO,8.1813,2025.1,2029.1,672.0,3,0,0,8.436363636363636,0.8025454545454551,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
581432,CRATEÚS/CE,CRATEÚS,SISTEMAS DE INFORMAÇÃO,7.6281,2025.1,2029.1,672.0,3,0,0,7.9363636363636365,1.8125454545454551,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592632,CRATEÚS/CE,CRATEÚS,SISTEMAS DE INFORMAÇÃO,5.1,2025.2,2029.2,64.0,2,0,2,5.1000000000000005,6.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
582038,CRATEÚS/CE,CRATEÚS,SISTEMAS DE INFORMAÇÃO,7.5531,2025.1,2029.1,672.0,3,0,0,8.009090909090908,1.6969090909090916,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
586998,INDEPENDÊNCIA/CE,INDEPENDÊNCIA,SISTEMAS DE INFORMAÇÃO,7.893,2025.1,2029.1,608.0,3,0,0,8.045454545454545,1.1787272727272728,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
579850,IPUEIRAS/CE,IPUEIRAS,SISTEMAS DE INFORMAÇÃO,5.4143,2025.1,2029.1,224.0,3,0,5,6.11,5.918777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
585946,CRATEÚS/CE,CRATEÚS,SISTEMAS DE INFORMAÇÃO,4.9346,2025.1,2029.1,288.0,3,0,4,5.239999999999999,8.000444444444446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
579368,FORTALEZA/CE,FORTALEZA,SISTEMAS DE INFORMAÇÃO,8.5406,2025.1,2029.1,672.0,3,0,0,8.709090909090909,0.7229090909090907,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
583208,INDEPENDÊNCIA/CE,INDEPENDÊNCIA,SISTEMAS DE INFORMAÇÃO,0.6667,2025.1,2029.1,0.0,3,0,9,1.0222222222222221,1.5769444444444443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
585509,IPUEIRAS/CE,IPUEIRAS,SISTEMAS DE INFORMAÇÃO,5.7007,2025.1,2029.1,352.0,3,1,3,6.55,8.07388888888889,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
585399,CRATEÚS/CE,CRATEÚS,SISTEMAS DE INFORMAÇÃO,5.375,2025.1,2029.1,320.0,3,1,4,6.13,5.271222222222222,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
578193,ARARENDÁ/CE,ARARENDÁ,SISTEMAS DE INFORMAÇÃO,7.5036,2025.1,2029.1,608.0,3,0,0,8.03,1.6245555555555553,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
578186,CRATEÚS/CE,CRATEÚS,SISTEMAS DE INFORMAÇÃO,7.1438,2025.1,2029.1,576.0,3,1,1,7.854545454545454,3.8987272727272724,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
